location,time_posted,Mileage,Vehicle_color,Price,Vehicle_condition,engine_size,year,gearbox,brand,model,car_body,fuel,Puissance Fiscale
Nabeul,7 hours ago,106000.0,Gris,36000.0,Avec kilométrage,1.2,2017.0,Manuelle,Citroen,C3,Utilitaire,Essence,3.0
Bizerte,7 hours ago,152000.0,Marron,26700.0,Avec kilométrage,1.2,2011.0,Manuelle,Citroen,C3,Berline,Essence,4.0
Tunis,a month ago,118000.0,Gris,41000.0,Avec kilométrage,1.2,2016.0,Manuelle,Peugeot,2008,Autres,Essence,5.0
Ben Arous,a month ago,250000.0,Rouge,55000.0,Avec kilométrage,2.0,2016.0,Automatique,Mazda,6,Berline,Essence,9.0
Nabeul,a month ago,180000.0,Noir,44000.0,Nouveau,1.5,2017.0,Manuelle,Ford,Fusion,Berline,Essence,9.0
Tunis,2 months ago,82000.0,Noir,69900.0,Avec kilométrage,1.7,2018.0,Automatique,BMW,Serie 3,Berline,Essence,7.0
Mahdia,2 months ago,76000.0,Gris,11111.0,Avec kilométrage,1.2,2014.0,Manuelle,lancia,Ypsilon,Autres,Essence,4.0
Bizerte,7 hours ago,74000.0,Rouge,31000.0,Avec kilométrage,1.2,2018.0,Manuelle,Peugeot,208,Berline,Essence,5.0
Gabès,7 hours ago,270000.0,Gris,30000.0,Avec kilométrage,4.0,2012.0,Automatique,Peugeot,508,Autres,Essence,7.0
La Manouba,7 hours ago,180000.0,Gris,56900.0,Nouveau,1.2,2018.0,Automatique,Volkswagen,Golf,Berline,Essence,6.0
Nabeul,7 hours ago,298000.0,Autre,11500.0,Avec kilométrage,1.2,1997.0,Manuelle,Renault,Clio,Berline,Essence,6.0
Ben Arous,7 hours ago,127000.0,Rouge,34500.0,Avec kilométrage,1.0,2017.0,Manuelle,Toyota,Yaris,Compacte,Essence,4.0
Gabès,7 hours ago,200000.0,Blanc,13500.0,Avec kilométrage,1.2,1994.0,Manuelle,Renault,Clio,Compacte,Essence,5.0
Ben Arous,7 hours ago,176000.0,Rouge,25300.0,Avec kilométrage,1.2,2012.0,Manuelle,Fiat,Panda,Compacte,Essence,4.0
Ariana,7 hours ago,63000.0,Autre,31000.0,Avec kilométrage,4.0,2018.0,Manuelle,Peugeot,107,Autres,Essence,4.0
Kairouan,7 hours ago,197000.0,Noir,17200.0,Avec kilométrage,1.2,2003.0,Manuelle,Volkswagen,Polo,Compacte,Essence,4.0
Kébili,7 hours ago,218000.0,Noir,39000.0,Avec kilométrage,1.6,2014.0,Automatique,Kia,Cerato,Autres,Essence,8.0
Kairouan,7 hours ago,71000.0,Blanc,41000.0,Nouveau,1.0,2019.0,Manuelle,Dacia,Sandero,Berline,Essence,4.0
Tunis,8 hours ago,196000.0,Gris,23000.0,Avec kilométrage,1.6,2006.0,Manuelle,Peugeot,307,Autres,Essence,6.0
Médenine,8 hours ago,157000.0,Gris,40000.0,Nouveau,1.2,2018.0,Manuelle,Peugeot,2008,Autres,Essence,5.0
Bizerte,8 hours ago,120000.0,Blanc,23800.0,Nouveau,2.5,2016.0,Manuelle,Mahindra,Scorpion,Autres,Diesel,8.0
Nabeul,8 hours ago,40413.0,Bleu,39000.0,Avec kilométrage,1.0,2021.0,Manuelle,Hyundai,I 10,Compacte,Essence,4.0
Monastir,8 hours ago,50000.0,Gris,35000.0,Nouveau,1.2,2019.0,Manuelle,Peugeot,208,Compacte,Essence,4.0
Ben Arous,8 hours ago,30000.0,Blanc,44900.0,Avec kilométrage,1.2,2022.0,Manuelle,Peugeot,208,Compacte,Essence,4.0
Ben Arous,8 hours ago,62000.0,Blanc,23500.0,Avec kilométrage,1.0,2019.0,Manuelle,Chery,QQ,Compacte,Essence,4.0
Sfax,8 hours ago,151000.0,Blanc,12345.0,Nouveau,1.6,2018.0,Automatique,Ssangyong,Tivoli,Autres,Essence,8.0
Tunis,9 hours ago,300000.0,Blanc,12500.0,Avec kilométrage,2.1,1989.0,Manuelle,Peugeot,404,Pick up,Diesel,8.0
Ariana,9 hours ago,160000.0,Gris,111111.0,Avec kilométrage,1.6,2021.0,Automatique,Nissan,Qashqai,Autres,Essence,6.0
Ben Arous,9 hours ago,300000.0,Gris,11800.0,Avec kilométrage,1.1,2001.0,Manuelle,Citroen,Saxo,Compacte,Essence,4.0
Ariana,9 hours ago,162000.0,Gris,38700.0,Nouveau,1.2,2014.0,Manuelle,Peugeot,2008,Monospace,Essence,5.0
Monastir,9 hours ago,159000.0,Noir,89900.0,Avec kilométrage,1.8,2016.0,Automatique,BMW,X1,4 x 4,Essence,7.0
Tunis,9 hours ago,85000.0,Blanc,37600.0,Avec kilométrage,1.2,2020.0,Manuelle,Hyundai,I 10,Autres,Essence,5.0
